Scan performed on 11-28-2016 08:36:27
WARNING: /home/datboi/HybrIDS/.hybrids.py.swp removed from file system!!
WARNING: /home/datboi/.mozilla/firefox/m5ov45ka.default/places.sqlite-wal removed from file system!!
WARNING: /home/datboi/.mozilla/firefox/m5ov45ka.default/places.sqlite-shm removed from file system!!
WARNING: /home/datboi/.mozilla/firefox/m5ov45ka.default/saved-telemetry-pings/27ddb3d9-bef4-4cfc-9dea-99e59a339166 removed from file system!!
WARNING: /home/datboi/.mozilla/firefox/m5ov45ka.default/saved-telemetry-pings/9ead99ed-24cf-4e16-855c-8058556c0a56 removed from file system!!

WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/3F2B7620D3ED7129A16D30BEA70B83C71437731C added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/7F4E144C4592EF0A23283B7452C81B93E9DE790A added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/EB0EA3DF0A7ABF931632591BD31F932E7C5380E7 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/9D27604C5774178ECE8DCE408D92BE7F6668F799 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/055AB4F3EBAB82C644777DAB49ADA45E9351183B added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/AE241CD2BF4E356143D9D8730E31EF07E8AA216A added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/98E5FA420274070FC791CE8EF742971CDAE795E9 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/529DE18879D638E6D73950A865A33033D769E604 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/51194BFD0B2AE127340CC506DF0BFCC02287ADB6 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/B9F6F8360CA85CEFF1689595F4F4F9840A7FB118 added to file system!!
WARNING: /home/datboi/.mozilla/firefox/m5ov45ka.default/sessionstore-backups/upgrade.js-20161114145022 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/38B8DB7CABAC8E3AEFA752B0C85B30471941AA62 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/55E9078962E5194504BE68A4102C576C8D0086DD added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/0C57116884A8C10389CA8A3C51884C2F79C81D85 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/F27A11CB50966DA4F57127EA18E8C576152D7BBF added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/7A583A28FCE1F8AFC528FF3C63A9574662A544AB added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/7BC629493EE15015559342BF1243EA3FC770B088 added to file system!!
WARNING: /home/datboi/.mozilla/firefox/m5ov45ka.default/saved-telemetry-pings/4f386df2-7518-40e7-8ed5-0bafd886461d added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/thumbnails/d7e6247270b3e128702859103493c88b.png added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/141EFDBF81CAECCB1C22C9BFED67D20A49AA2BE9 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/5BD17740D10191BB515CCE4686EF60F68A500819 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/5F671C1A1DE34D575DDD156792D059F8F34E9CB4 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/16E06934EB1D88A7B579464C2BF63CDD5A7D89C5 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/9CB7F5B208A14652B8D5BC9D162BFAB5226B0961 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/8979D0AE27ED7D8502725E51A79622FC68D2EED9 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/6FADE292096CAB40ABB62EC330AFC0033302D71B added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/BC8E89189CA52E40DF6FEF6D372FE50B00FA13AB added to file system!!
